X	Y
493867.193225533 	2174305.344815770 
493867.203697427 	2174305.313828520 
493867.277073690 	2174305.309377070 
493867.339978437 	2174305.337019430 
493867.298033445 	2174305.293878040 
493867.214156014 	2174305.244111710 
493867.235115009 	2174305.226399560 
493867.318964687 	2174305.195387100 
493867.266542480 	2174305.167741130 
493867.161723158 	2174305.185482100 
493867.151257349 	2174305.234174290 
493867.172224710 	2174305.240806440 
493867.203660164 	2174305.205385750 
493867.266550465 	2174305.190978870 
493867.235108165 	2174305.206481500 
493867.193184088 	2174305.224200850 
493867.151239478 	2174305.182166020 
493867.140731462 	2174305.108030180 
493867.172187827 	2174305.133470230 
493867.224612698 	2174305.168862100 
493867.245578159 	2174305.169961460 
493867.151221988 	2174305.131264310 
493867.109284981 	2174305.111360660 
493867.140740968 	2174305.135694150 
493867.172218626 	2174305.223101500 
493867.182711813 	2174305.254081540 
493867.245580821 	2174305.177707370 
493867.256037505 	2174305.102457760 
493867.235089914 	2174305.153366670 
493867.214140424 	2174305.198742790 
493867.193181807 	2174305.217561500 
493867.193176864 	2174305.203176230 
493867.339919503 	2174305.165502800 
493867.455228587 	2174305.168782860 
493867.381861831 	2174305.200898280 
493867.161711751 	2174305.152285330 
493867.161696922 	2174305.109129530 
493867.161696922 	2174305.109129530 
493867.182698885 	2174305.216458540 
493867.109281559 	2174305.101401630 
493867.088330926 	2174305.143458070 
493867.035943700 	2174305.217615530 
493867.151220086 	2174305.125731520 
493867.266529553 	2174305.130118130 
493867.214120652 	2174305.141201730 
493867.140749333 	2174305.160038440 
493867.203649518 	2174305.174402100 
493867.224610417 	2174305.162222750 
493867.172179082 	2174305.108019370 
493867.172184785 	2174305.124617750 
493867.287485506 	2174305.103553510 
493867.318898908 	2174305.003952410 
493867.266506739 	2174305.063724600 
493867.235095237 	2174305.168858500 
493867.224637794 	2174305.241894990 
493867.193164696 	2174305.167766350 
493867.140737166 	2174305.124628560 
493867.088337010 	2174305.161163010 
493867.098819932 	2174305.162265970 
493867.140741349 	2174305.136800710 
493867.214123694 	2174305.150054200 
493867.235107405 	2174305.204268380 
493867.172219006 	2174305.224208060 
493867.172203037 	2174305.177732580 
493867.203647997 	2174305.169975860 
493867.245581201 	2174305.178813930 
493867.224612698 	2174305.168862100 
493867.235100180 	2174305.183243760 
493867.119797940 	2174305.199881770 
493867.046427000 	2174305.219825040 
493867.119812009 	2174305.240824450 
493867.256056897 	2174305.158892260 
493867.308441461 	2174305.076988900 
493867.256048532 	2174305.134547970 
493867.119831401 	2174305.297258950 
493867.077918350 	2174305.347068510 
493867.182712953 	2174305.257401220 
493867.235093716 	2174305.164432260 
493867.277006390 	2174305.113516150 
493867.256055756 	2174305.155572590 
493867.214127497 	2174305.161119790 
493867.214099360 	2174305.079234430 
493867.329414528 	2174305.100219430 
493867.256041308 	2174305.113523350 
493867.151207919 	2174305.090321630 
493867.193173822 	2174305.194323760 
493867.266571758 	2174305.252946170 
493867.224610417 	2174305.162222750 
493867.193144544 	2174305.109118730 
493867.203645335 	2174305.162229950 
493867.235106644 	2174305.202055260 
493867.172187827 	2174305.133470230 
493867.140720816 	2174305.077046530 
493867.182666565 	2174305.122401030 
493867.182688999 	2174305.187688010 
493867.182688999 	2174305.187688010 
493867.193157092 	2174305.145635170 
493867.235078507 	2174305.120169910 
493867.266529553 	2174305.130118130 
