X	Y
496885.312632171 	2172295.020761520 
496885.260205483 	2172294.974295290 
496885.260205483 	2172294.974295290 
496885.438442179 	2172295.051723170 
496885.438442179 	2172295.051723170 
496885.281192787 	2172295.088266940 
496885.354588644 	2172295.144688520 
496885.354588644 	2172295.144688520 
496885.438459154 	2172295.149100120 
496885.323120325 	2172295.046210490 
496885.323120325 	2172295.046210490 
496885.249733725 	2172295.042903610 
496885.281196839 	2172295.111504620 
496885.302160607 	2172295.090476400 
496885.291658370 	2172294.984248820 
496885.228759346 	2172295.003071240 
496885.228759346 	2172295.003071240 
496885.218289519 	2172295.082745120 
496885.239245957 	2172295.019667760 
496885.281167902 	2172294.945521170 
496885.281167902 	2172294.945521170 
496885.333601342 	2172295.030716870 
496885.333601342 	2172295.030716870 
496885.239247500 	2172295.028520210 
496885.312627348 	2172294.993097610 
496885.312627348 	2172294.993097610 
496885.365057315 	2172295.058375300 
496885.365057315 	2172295.058375300 
496885.323115888 	2172295.020759690 
496885.302140738 	2172294.976501100 
496885.302140738 	2172294.976501100 
496885.302167552 	2172295.130312430 
496885.438451631 	2172295.105944430 
496885.417486124 	2172295.117013650 
496885.386042111 	2172295.157961710 
496885.354588258 	2172295.142475410 
496885.344091425 	2172295.067231400 
496885.344091425 	2172295.067231400 
496885.291657791 	2172294.980929150 
496885.260217057 	2172295.040688670 
496885.260217057 	2172295.040688670 
496885.333598835 	2172295.016331640 
496885.312634872 	2172295.036253310 
496885.249738933 	2172295.072780630 
496885.239264090 	2172295.123684050 
496885.354578999 	2172295.089360700 
496885.365043040 	2172294.976490130 
496885.365043040 	2172294.976490130 
496885.333593819 	2172294.987561180 
496885.396515604 	2172295.099312400 
496885.354579963 	2172295.094893480 
496885.354579963 	2172295.094893480 
496885.302141895 	2172294.983140430 
496885.302149226 	2172295.025189570 
496885.302149226 	2172295.025189570 
496885.354582664 	2172295.110385270 
496885.386043268 	2172295.164601050 
496885.312635643 	2172295.040679540 
496885.312635643 	2172295.040679540 
496885.312658020 	2172295.169040070 
496885.365080463 	2172295.191162060 
496885.344088917 	2172295.052846170 
496885.249718678 	2172294.956592220 
496885.186828722 	2172295.027422790 
496885.312642009 	2172295.077195890 
496885.312642009 	2172295.077195890 
496885.197320154 	2172295.071683220 
496885.197320154 	2172295.071683220 
496885.144901955 	2172295.073905470 
496885.354569740 	2172295.036246000 
496885.354569740 	2172295.036246000 
496885.375521163 	2172294.944398170 
496885.344084095 	2172295.025182260 
496885.302151348 	2172295.037361690 
496885.302151348 	2172295.037361690 
496885.469871919 	2172294.928889930 
496885.543285715 	2172295.088221250 
496885.417495191 	2172295.169021790 
496885.396518883 	2172295.118123860 
496885.438452981 	2172295.113690320 
496885.438452981 	2172295.113690320 
496885.354580928 	2172295.100426270 
496885.323119553 	2172295.041784260 
496885.291674960 	2172295.079412660 
496885.270708105 	2172295.082735990 
496885.260220530 	2172295.060606690 
496885.260220530 	2172295.060606690 
496885.333620054 	2172295.138052840 
496885.407014367 	2172295.185621970 
496885.323118396 	2172295.035144930 
496885.344090654 	2172295.062805180 
496885.344090654 	2172295.062805180 
496885.459426203 	2172295.146883360 
496885.396521777 	2172295.134722200 
496885.323128620 	2172295.093792410 
496885.323128562 	2172295.093460440 
496885.270700967 	2172295.041793400 
496885.333612338 	2172295.093790580 
496885.249736811 	2172295.060608520 
496885.249736811 	2172295.060608520 
496885.123925260 	2172295.020794420 
496885.396540296 	2172295.240951610 
496885.396540296 	2172295.240951610 
496885.459393796 	2172294.960981890 
496885.396499015 	2172295.004148560 
496885.333598063 	2172295.011905420 
496885.344094512 	2172295.084936310 
496885.344094512 	2172295.084936310 
496885.386036903 	2172295.128084690 
496885.427982960 	2172295.192257650 
496885.365065224 	2172295.103744110 
496885.365065224 	2172295.103744110 
