lon		lat
110.930856080 	19.598519694 
110.930856114 	19.598519735 
110.930856116 	19.598519721 
110.930856062 	19.598519730 
110.930856064 	19.598519723 
110.930856061 	19.598519743 
110.930856016 	19.598519741 
110.930856018 	19.598519751 
110.930855998 	19.598519754 
110.930856012 	19.598519735 
110.930856004 	19.598519746 
110.930856015 	19.598519741 
110.930856000 	19.598519728 
110.930856015 	19.598519760 
110.930856007 	19.598519744 
110.930855995 	19.598519750 
110.930856026 	19.598519744 
110.930856006 	19.598519746 
110.930856018 	19.598519741 
110.930856026 	19.598519752 
